movie_id,genre_id
159824,35
159824,10751
159824,14
49529,28
49529,12
49529,878
630,12
630,14
630,10751
50546,35
50546,10749
4982,18
4982,80
10530,12
10530,16
10530,10751
10530,10749
15,9648
15,18
289,18
289,10749
82507,27
82507,53
82507,9648
311,18
311,80
274857,28
274857,18
274857,14
251,14
251,10749
251,53
9654,28
9654,80
346685,80
346685,9648
346685,53
299687,878
299687,12
299687,28
105864,12
105864,16
105864,10751
3170,16
3170,18
3170,10751
44833,53
44833,28
44833,12
44833,878
345887,28
345887,53
345887,80
496,35
396422,27
8961,28
8961,80
8961,35
400106,14
400106,28
400106,53
568,18
568,36
400928,18
400928,35
754,28
754,80
754,878
27576,28
27576,9648
27576,53
306819,18
375262,36
375262,35
375262,18
107985,35
107985,28
107985,878
215,27
5876,27
5876,878
5876,53
508947,16
508947,10751
508947,35
508947,14
527641,10749
527641,18
1635,28
1635,53
1635,878
640146,28
640146,12
640146,878
10140,12
10140,10751
10140,14
756999,27
756999,53
75,35
75,14
75,878
675353,28
675353,12
675353,10751
675353,35
64635,28
64635,878
64635,53
97020,28
97020,878
97020,53
2567,18
13811,878
13811,53
4108,28
4108,80
4108,53
41733,35
41733,18
17578,12
17578,16
17578,9648
307081,28
307081,18
60308,18
157353,53
157353,878
157353,18
157353,9648
8321,35
8321,18
8321,80
395834,80
395834,9648
395834,53
480530,18
480530,28
297,14
297,18
297,10749
6114,10749
6114,27
44264,18
44264,12
44264,37
5548,28
5548,53
5548,878
72559,28
72559,878
72559,12
72559,53
377,27
76726,878
76726,18
76726,53
10009,12
10009,16
10009,10751
225574,28
225574,53
225574,9648
879,12
879,14
879,35
879,10751
10693,16
10693,10751
10693,12
10693,14
37710,28
37710,53
37710,10749
9509,28
9509,18
9509,53
2109,28
2109,35
2109,80
290859,878
290859,28
290859,12
290859,53
22803,18
22803,80
22803,53
4523,35
4523,10751
4523,14
4523,10749
23168,80
23168,18
23168,53
559969,80
559969,18
559969,53
369972,36
369972,18
1991,28
1991,53
567609,27
567609,35
21208,27
21208,53
1562,27
1562,53
1562,878
10340,16
10340,10751
10340,10749
10340,12
10340,35
1581,35
1581,10749
11253,14
11253,28
43347,18
43347,35
43347,10749
107846,28
107846,53
414,28
414,80
414,14
9444,16
9444,10751
9444,14
9444,12
8078,878
8078,27
8078,28
503919,18
503919,14
503919,53
2118,80
2118,9648
2118,53
82695,36
82695,18
49049,28
49049,878
6637,28
6637,12
6637,9648
311324,28
311324,12
311324,14
792307,878
792307,10749
792307,35
563,12
563,28
563,53
563,878
10096,35
10096,14
10096,10749
353491,14
353491,28
353491,878
308266,35
308266,80
308266,18
345920,18
345920,10749
399404,18
399404,36
85350,18
634,35
634,10749
634,18
254470,35
254470,10402
2667,27
2667,9648
316727,28
316727,27
316727,53
7485,18
7485,28
7485,53
49849,28
49849,878
49849,53
49849,37
10882,14
10882,16
10882,10749
10882,10751
9480,14
9480,28
9836,16
9836,35
9836,10751
453405,878
453405,28
453405,12
453405,53
453405,18
23827,27
23827,9648
324849,16
324849,28
324849,35
324849,10751
399174,12
399174,35
399174,16
4547,80
4547,18
4547,53
613504,18
613504,10749
16996,35
16996,14
415,28
415,878
415,12
473033,18
473033,53
473033,80
9377,35
7443,16
7443,35
7443,10751
310307,18
310307,36
976573,16
976573,35
976573,10751
976573,10749
524047,53
524047,28
524047,878
1830,80
1830,18
1830,53
479455,35
479455,878
479455,28
479455,12
544,10749
544,35
10545,18
10545,16
10545,10751
268896,28
268896,14
268896,878
268896,12
76285,12
76285,10751
76285,14
