movie_id,title,original_language,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,status,overview
59965,Abduction,en,2011-09-22,106,35000000.0,82087155.0,5.5311,5.834,3043,Released,"For many years, Nathan Harper has had the uneasy feeling that life with his family isn't quite what it seems. As he draws closer to uncovering the truth, he is hunted by assassins, forcing him to flee with his neighbor, Karen, the only person he can trust."
7484,Open Season,en,2006-09-27,86,85000000.0,200811689.0,11.7772,6.195,3042,Released,"Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters."
612,Munich,en,2005-12-23,164,70000000.0,130982129.0,7.4401,7.133,3042,Released,"During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack."
9336,Police Academy,en,1984-03-22,97,4500000.0,81198894.0,11.8459,6.717,3040,Released,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!"
37056,Letters to Juliet,en,2010-05-13,105,30000000.0,82148538.0,6.9834,7.001,3038,Released,"An American girl on vacation in Italy finds an unanswered ""letter to Juliet"" -- one of thousands of missives left at the fictional lover's Verona courtyard, which are typically answered by the ""secretaries of Juliet"" -- and she goes on a quest to find the lovers referenced in the letter."
542178,"The French Dispatch of the Liberty, Kansas Evening Sun",en,2021-10-21,108,25000000.0,46333545.0,9.9882,7.008,3036,Released,"The staff of an American magazine based in France puts out its last issue, with stories featuring an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef."
9277,The Sting,en,1973-12-25,129,5500000.0,159616327.0,10.6832,8.014,3032,Released,A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.
9352,EuroTrip,en,2004-02-20,92,25000000.0,22605153.0,10.3797,6.622,3029,Released,"When Scott learns that his longtime cyber-buddy from Berlin is a gorgeous young woman, he and his friends embark on a trip across Europe."
1645,A Time to Kill,en,1996-07-24,149,40000000.0,152266007.0,7.9319,7.392,3028,Released,"A young lawyer defends a black man accused of murdering two white men who raped his 10-year-old daughter, sparking a rebirth of the KKK."
712,Four Weddings and a Funeral,en,1994-03-09,117,4400000.0,245700832.0,7.6054,6.776,3028,Released,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
76640,The Last Stand,en,2013-01-12,107,30000000.0,0.0,6.7016,6.094,3026,Released,"Ray Owens is sheriff of the quiet US border town of Sommerton Junction after leaving the LAPD following a bungled operation. Following his escape from the FBI, a notorious drug baron, his gang, and a hostage are heading toward Sommerton Junction where the police are preparing to make a last stand to intercept them before they cross the border. Owens is reluctant to become involved but ultimately joins in with the law enforcement efforts."
2044,The Lake House,en,2006-06-16,99,40000000.0,114830111.0,7.0305,7.032,3025,Released,"When architect Alex Wyler moves into an unusual glass house on stilts over a lake, he discovers a note from the previous tenant in the mailbox--but no one's lived in the house for years. He replies and soon discovers that he's corresponding with a doctor named Kate Forster. Their correspondence, only through the 'magical' mailbox, turns romantic and their paths cross in unexpected ways, but when they try to truly connect, danger looms. They must try to unravel the mystery behind their extraordinary romance before it's too late."
601666,I Care a Lot,en,2021-02-19,119,0.0,0.0,6.0584,6.572,3024,Released,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.
930564,Saltburn,en,2023-11-16,131,20000000.0,21013738.0,15.0369,6.943,3021,Released,"Struggling to find his place at Oxford University, student Oliver Quick finds himself drawn into the world of the charming and aristocratic Felix Catton, who invites him to Saltburn, his eccentric family's sprawling estate, for a summer never to be forgotten."
420634,Terrifier,en,2018-01-25,84,35000.0,421798.0,15.6625,6.312,3021,Released,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.
9315,Flightplan,en,2005-09-22,98,55000000.0,223387299.0,6.4839,6.444,3020,Released,"Flying at 40,000 feet in a state-of-the art aircraft that she helped design, Kyle Pratt's 6-year-old daughter Julia vanishes without a trace. Or did she? No one on the plane believes Julia was ever onboard. And now Kyle, desperate and alone, can only count on her own wits to unravel the mystery and save her daughter."
431693,Spies in Disguise,en,2019-12-04,102,100000000.0,171616764.0,13.3086,7.542,3017,Released,"Super spy Lance Sterling and scientist Walter Beckett are almost exact opposites. Lance is smooth, suave and debonair. Walter is… not. But what Walter lacks in social skills he makes up for in smarts and invention, creating the awesome gadgets Lance uses on his epic missions. But when events take an unexpected turn, Walter and Lance suddenly have to rely on each other in a whole new way."
9374,Death Becomes Her,en,1992-07-30,104,55000000.0,149000000.0,8.5339,6.781,3014,Released,"Madeline is married to Ernest, who was once her arch-rival Helen's fiancé. After recovering from a mental breakdown, Helen vows to kill Madeline and steal back Ernest. Unfortunately for everyone, the introduction of a magic potion causes things to be a great deal more complicated than a mere murder plot."
944,Lethal Weapon 4,en,1998-07-10,127,140000000.0,285444603.0,8.7966,6.617,3013,Released,"With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with a deadly Chinese crime lord trying to get his brother out of prison."
400160,The SpongeBob Movie: Sponge on the Run,en,2020-08-14,95,60000000.0,4810790.0,8.5062,7.388,3012,Released,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal."
49520,The Change-Up,en,2011-08-05,112,52000000.0,75500000.0,7.5213,6.16,3012,Released,"Lifelong friends Dave and Mitch are envious of the other's life. Mitch thinks Dave has it all: a beautiful, loving family and a high-paying job at a prestigious law firm. But Dave thinks Mitch’s stress-free playboy life without obligation or consequence is the real dream come true. One fateful drunken night, they both admit that they wish they had the other’s life while peeing in a fountain when lightning strikes. The next morning, they wake up, hungover, in each other’s bodies! With time not on their side, Mitch and Dave comically struggle to avoid completely destroying each other’s lives before they can find a way to get their old ones back."
531219,Roald Dahl's The Witches,en,2020-10-26,104,0.0,29303571.0,7.9736,6.332,3009,Released,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered."
10202,Bedtime Stories,en,2008-12-24,99,80000000.0,212874864.0,6.2328,6.154,3009,Released,Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?
1087192,How to Train Your Dragon,en,2025-06-06,125,150000000.0,636351148.0,35.4872,7.929,3008,Released,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society."
241554,Run All Night,en,2015-03-11,114,50000000.0,71561644.0,7.1904,6.4,3008,Released,"Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his past—as well as a dogged police detective who’s been one step behind Jimmy for 30 years. But when Jimmy’s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right."
